Unnamed: 0,Friend 1,Trs_status_x,Subscription Date_x,Friend 2,User,Trs_status_y,Subscription Date_y,Friendship_request_date,Request status
0,1,False,2020-04-29 14:49:33,555,555,False,2020-04-29 15:30:38,2020-04-22 14:49:33,1
2,1,False,2020-04-29 14:49:33,921,921,False,2020-04-29 16:17:37,2020-04-18 14:49:33,1
3,1,False,2020-04-29 14:49:33,213,213,False,2020-04-29 16:06:46,2020-04-17 14:49:33,0
4,1,False,2020-04-29 14:49:33,184,184,False,2020-04-29 15:47:09,2020-04-08 14:49:33,0
5,1,False,2020-04-29 14:49:33,242,242,False,2020-04-29 13:06:25,2020-04-21 13:06:25,0
7,1,False,2020-04-29 14:49:33,402,402,False,2020-04-29 16:07:52,2020-03-31 14:49:33,1
8,1,False,2020-04-29 14:49:33,399,399,False,2020-04-29 16:06:54,2020-04-01 14:49:33,0
9,1,False,2020-04-29 14:49:33,84,84,False,2020-04-29 12:51:35,2020-04-05 12:51:35,1
10,1,False,2020-04-29 14:49:33,55,55,False,2020-04-29 16:25:00,2020-04-10 14:49:33,0
11,2,False,2020-04-29 16:02:12,752,752,False,2020-04-29 16:59:23,2020-04-15 16:02:12,1
12,2,False,2020-04-29 16:02:12,539,539,False,2020-04-29 15:31:00,2020-04-21 15:31:00,0
13,2,False,2020-04-29 16:02:12,535,535,False,2020-04-29 13:53:12,2020-04-05 13:53:12,0
14,2,False,2020-04-29 16:02:12,391,391,False,2020-04-29 15:23:59,2020-04-16 15:23:59,1
15,2,False,2020-04-29 16:02:12,91,91,False,2020-04-29 15:24:18,2020-04-17 15:24:18,1
16,2,False,2020-04-29 16:02:12,414,414,False,2020-04-29 15:45:38,2020-04-01 15:45:38,0
17,2,False,2020-04-29 16:02:12,534,534,False,2020-04-29 14:43:36,2020-04-20 14:43:36,1
18,2,False,2020-04-29 16:02:12,918,918,False,2020-04-29 17:30:04,2020-04-25 16:02:12,1
20,3,False,2020-04-29 14:48:57,71,71,False,2020-04-29 15:40:44,2020-04-21 14:48:57,1
21,3,False,2020-04-29 14:48:57,705,705,False,2020-04-29 17:13:50,2020-04-26 14:48:57,0
24,3,False,2020-04-29 14:48:57,695,695,False,2020-04-29 15:43:18,2020-03-31 14:48:57,1
26,3,False,2020-04-29 14:48:57,608,608,False,2020-04-29 15:29:35,2020-04-28 14:48:57,1
28,3,False,2020-04-29 14:48:57,802,802,False,2020-04-29 15:10:18,2020-04-18 14:48:57,1
29,3,False,2020-04-29 14:48:57,775,775,False,2020-04-29 17:20:06,2020-04-18 14:48:57,1
31,3,False,2020-04-29 14:48:57,744,744,False,2020-04-29 17:16:52,2020-04-07 14:48:57,0
33,4,False,2020-04-29 17:07:16,428,428,False,2020-04-29 13:30:04,2020-04-12 13:30:04,1
34,4,False,2020-04-29 17:07:16,125,125,False,2020-04-29 17:08:11,2020-04-23 17:07:16,1
36,4,False,2020-04-29 17:07:16,120,120,False,2020-04-29 14:51:30,2020-04-28 14:51:30,1
39,4,False,2020-04-29 17:07:16,679,679,False,2020-04-29 16:09:49,2020-04-04 16:09:49,0
40,4,False,2020-04-29 17:07:16,249,249,False,2020-04-29 17:31:12,2020-04-28 17:07:16,1
41,4,False,2020-04-29 17:07:16,15,15,False,2020-04-29 16:48:15,2020-04-27 16:48:15,0
42,4,False,2020-04-29 17:07:16,319,319,False,2020-04-29 15:16:09,2020-04-04 15:16:09,1
44,5,False,2020-04-29 14:27:22,455,455,False,2020-04-29 15:04:46,2020-04-16 14:27:22,1
45,5,False,2020-04-29 14:27:22,819,819,False,2020-04-29 16:36:12,2020-04-02 14:27:22,0
46,5,False,2020-04-29 14:27:22,204,204,False,2020-04-29 17:29:14,2020-04-23 14:27:22,0
48,5,False,2020-04-29 14:27:22,530,530,False,2020-04-29 15:00:42,2020-04-06 14:27:22,1
50,6,False,2020-04-29 16:18:09,347,347,False,2020-04-29 15:28:29,2020-04-27 15:28:29,1
51,6,False,2020-04-29 16:18:09,862,862,False,2020-04-29 12:57:13,2020-04-01 12:57:13,1
52,6,False,2020-04-29 16:18:09,266,266,False,2020-04-29 14:37:04,2020-04-22 14:37:04,1
53,6,False,2020-04-29 16:18:09,432,432,False,2020-04-29 14:14:53,2020-04-21 14:14:53,0
54,6,False,2020-04-29 16:18:09,578,578,False,2020-04-29 14:28:36,2020-04-18 14:28:36,1
56,6,False,2020-04-29 16:18:09,750,750,False,2020-04-29 16:19:04,2020-04-18 16:18:09,1
58,6,False,2020-04-29 16:18:09,724,724,False,2020-04-29 16:56:21,2020-04-07 16:18:09,0
61,6,False,2020-04-29 16:18:09,387,387,False,2020-04-29 15:51:16,2020-04-19 15:51:16,1
62,6,False,2020-04-29 16:18:09,49,49,False,2020-04-29 17:09:00,2020-04-17 16:18:09,1
74,8,False,2020-04-29 17:19:36,310,310,False,2020-04-29 13:50:53,2020-04-08 13:50:53,1
75,8,False,2020-04-29 17:19:36,363,363,False,2020-04-29 17:21:09,2020-04-17 17:19:36,1
76,8,False,2020-04-29 17:19:36,477,477,False,2020-04-29 14:33:44,2020-04-07 14:33:44,0
77,8,False,2020-04-29 17:19:36,61,61,False,2020-04-29 12:31:59,2020-04-05 12:31:59,1
78,8,False,2020-04-29 17:19:36,151,151,False,2020-04-29 17:48:55,2020-04-05 17:19:36,0
79,8,False,2020-04-29 17:19:36,446,446,False,2020-04-29 14:08:04,2020-04-20 14:08:04,1
80,8,False,2020-04-29 17:19:36,335,335,False,2020-04-29 14:38:31,2020-04-21 14:38:31,1
82,8,False,2020-04-29 17:19:36,930,930,False,2020-04-29 15:46:46,2020-04-28 15:46:46,0
83,8,False,2020-04-29 17:19:36,797,797,False,2020-04-29 15:27:50,2020-04-06 15:27:50,1
84,8,False,2020-04-29 17:19:36,809,809,False,2020-04-29 16:37:14,2020-04-10 16:37:14,0
85,8,False,2020-04-29 17:19:36,677,677,False,2020-04-29 17:07:30,2020-04-15 17:07:30,1
87,9,False,2020-04-29 15:02:53,339,339,False,2020-04-29 13:37:24,2020-04-19 13:37:24,0
88,9,False,2020-04-29 15:02:53,852,852,False,2020-04-29 13:10:15,2020-03-31 13:10:15,1
89,9,False,2020-04-29 15:02:53,173,173,False,2020-04-29 16:44:34,2020-04-24 15:02:53,1
90,9,False,2020-04-29 15:02:53,196,196,False,2020-04-29 17:28:59,2020-04-11 15:02:53,0
91,9,False,2020-04-29 15:02:53,180,180,False,2020-04-29 17:41:51,2020-04-10 15:02:53,0
92,9,False,2020-04-29 15:02:53,628,628,False,2020-04-29 18:11:01,2020-04-11 15:02:53,1
93,9,False,2020-04-29 15:02:53,532,532,False,2020-04-29 16:50:14,2020-04-11 15:02:53,1
