User,ID,Post Type,Post Date
1,1001,Image,"2020/04/29, 17:29:37"
1,1002,Status_Change,"2020/04/29, 17:41:26"
1,1003,Text,"2020/04/29, 17:57:13"
1,1004,Image,"2020/04/29, 16:32:50"
1,1005,Image,"2020/04/29, 18:03:06"
1,1006,Image,"2020/04/29, 16:24:10"
1,1007,Status_Change,"2020/04/29, 16:27:47"
1,1008,Video,"2020/04/29, 16:26:51"
1,1009,Image,"2020/04/29, 17:20:44"
1,1010,Status_Change,"2020/04/29, 16:32:51"
1,1011,Text,"2020/04/29, 17:26:35"
1,1012,Image,"2020/04/29, 16:50:29"
1,1013,Video,"2020/04/29, 16:58:19"
1,1014,Text,"2020/04/29, 16:47:38"
1,1015,Gif,"2020/04/29, 17:11:38"
1,1016,Gif,"2020/04/29, 16:42:44"
1,1017,Status_Change,"2020/04/29, 17:50:56"
1,1018,Video,"2020/04/29, 16:40:58"
2,1019,Gif,"2020/04/29, 16:15:39"
2,1020,Image,"2020/04/29, 17:39:36"
2,1021,Gif,"2020/04/29, 17:22:08"
2,1022,Status_Change,"2020/04/29, 16:56:33"
2,1023,Image,"2020/04/29, 16:25:10"
2,1024,Text,"2020/04/29, 16:39:12"
2,1025,Image,"2020/04/29, 16:44:32"
2,1026,Video,"2020/04/29, 16:38:48"
2,1027,Text,"2020/04/29, 17:18:12"
2,1028,Image,"2020/04/29, 16:40:02"
2,1029,Gif,"2020/04/29, 17:55:27"
3,1030,Video,"2020/04/29, 17:21:18"
3,1031,Gif,"2020/04/29, 16:00:51"
3,1032,Video,"2020/04/29, 17:51:46"
3,1033,Text,"2020/04/29, 17:05:36"
3,1034,Video,"2020/04/29, 17:10:21"
3,1035,Gif,"2020/04/29, 16:06:09"
3,1036,Gif,"2020/04/29, 18:16:52"
3,1037,Gif,"2020/04/29, 17:22:00"
3,1038,Gif,"2020/04/29, 16:30:58"
3,1039,Gif,"2020/04/29, 16:44:47"
3,1040,Status_Change,"2020/04/29, 16:15:02"
3,1041,Gif,"2020/04/29, 17:23:02"
3,1042,Status_Change,"2020/04/29, 16:46:47"
4,1043,Text,"2020/04/29, 17:45:23"
4,1044,Status_Change,"2020/04/29, 16:48:34"
4,1045,Image,"2020/04/29, 15:51:52"
4,1046,Image,"2020/04/29, 18:01:03"
4,1047,Status_Change,"2020/04/29, 17:22:22"
4,1048,Status_Change,"2020/04/29, 16:37:23"
4,1049,Video,"2020/04/29, 16:48:23"
4,1050,Gif,"2020/04/29, 16:46:35"
4,1051,Image,"2020/04/29, 17:14:18"
4,1052,Status_Change,"2020/04/29, 16:30:16"
4,1053,Image,"2020/04/29, 17:12:41"
4,1054,Text,"2020/04/29, 16:15:16"
4,1055,Image,"2020/04/29, 17:12:44"
4,1056,Status_Change,"2020/04/29, 16:03:29"
4,1057,Image,"2020/04/29, 17:16:05"
5,1058,Image,"2020/04/29, 17:46:44"
5,1059,Image,"2020/04/29, 16:12:57"
5,1060,Video,"2020/04/29, 17:04:25"
5,1061,Image,"2020/04/29, 17:14:15"
5,1062,Text,"2020/04/29, 18:27:10"
5,1063,Image,"2020/04/29, 16:31:55"
5,1064,Status_Change,"2020/04/29, 17:10:09"
5,1065,Status_Change,"2020/04/29, 17:29:46"
5,1066,Gif,"2020/04/29, 16:45:26"
5,1067,Image,"2020/04/29, 17:12:19"
6,1068,Text,"2020/04/29, 16:29:42"
6,1069,Text,"2020/04/29, 16:34:10"
6,1070,Video,"2020/04/29, 16:42:36"
6,1071,Text,"2020/04/29, 16:46:52"
6,1072,Gif,"2020/04/29, 17:16:32"
6,1073,Text,"2020/04/29, 17:27:31"
6,1074,Video,"2020/04/29, 17:17:36"
6,1075,Image,"2020/04/29, 17:06:38"
6,1076,Image,"2020/04/29, 17:11:31"
6,1077,Image,"2020/04/29, 17:10:15"
6,1078,Status_Change,"2020/04/29, 16:01:34"
6,1079,Video,"2020/04/29, 18:01:02"
6,1080,Text,"2020/04/29, 17:17:11"
6,1081,Status_Change,"2020/04/29, 17:09:43"
6,1082,Status_Change,"2020/04/29, 17:42:04"
6,1083,Gif,"2020/04/29, 17:57:31"
6,1084,Text,"2020/04/29, 16:37:16"
6,1085,Text,"2020/04/29, 17:39:12"
6,1086,Gif,"2020/04/29, 16:30:56"
6,1087,Text,"2020/04/29, 16:23:46"
6,1088,Gif,"2020/04/29, 17:32:40"
7,1089,Status_Change,"2020/04/29, 16:41:02"
7,1090,Video,"2020/04/29, 16:49:27"
7,1091,Image,"2020/04/29, 18:10:35"
7,1092,Gif,"2020/04/29, 17:58:41"
7,1093,Text,"2020/04/29, 17:05:51"
7,1094,Text,"2020/04/29, 16:38:46"
7,1095,Video,"2020/04/29, 16:44:36"
7,1096,Status_Change,"2020/04/29, 16:34:48"
7,1097,Video,"2020/04/29, 16:53:29"
8,1098,Video,"2020/04/29, 16:13:57"
8,1099,Video,"2020/04/29, 17:36:04"
8,1100,Video,"2020/04/29, 16:42:11"
8,1101,Image,"2020/04/29, 17:13:03"
9,1102,Status_Change,"2020/04/29, 17:50:30"
9,1103,Text,"2020/04/29, 17:05:44"
9,1104,Status_Change,"2020/04/29, 16:51:22"
9,1105,Text,"2020/04/29, 16:49:34"
9,1106,Gif,"2020/04/29, 17:49:49"
9,1107,Status_Change,"2020/04/29, 17:50:20"
9,1108,Text,"2020/04/29, 17:01:06"
9,1109,Text,"2020/04/29, 16:26:59"
9,1110,Text,"2020/04/29, 16:56:12"
10,1111,Video,"2020/04/29, 17:16:50"
10,1112,Image,"2020/04/29, 17:09:04"
10,1113,Image,"2020/04/29, 17:04:01"
10,1114,Gif,"2020/04/29, 17:19:22"
10,1115,Image,"2020/04/29, 17:00:27"
10,1116,Status_Change,"2020/04/29, 16:50:01"
10,1117,Image,"2020/04/29, 17:27:17"
11,1118,Text,"2020/04/29, 16:21:18"
11,1119,Video,"2020/04/29, 17:35:06"
11,1120,Video,"2020/04/29, 18:05:47"
11,1121,Status_Change,"2020/04/29, 17:40:28"
11,1122,Gif,"2020/04/29, 16:55:12"
11,1123,Video,"2020/04/29, 16:37:30"
11,1124,Gif,"2020/04/29, 17:04:06"
11,1125,Gif,"2020/04/29, 17:04:01"
11,1126,Video,"2020/04/29, 16:41:31"
11,1127,Gif,"2020/04/29, 16:58:36"
11,1128,Video,"2020/04/29, 16:36:43"
11,1129,Gif,"2020/04/29, 16:26:10"
11,1130,Image,"2020/04/29, 17:17:39"
11,1131,Text,"2020/04/29, 16:17:58"
11,1132,Image,"2020/04/29, 18:16:07"
11,1133,Video,"2020/04/29, 16:40:42"
11,1134,Image,"2020/04/29, 17:02:09"
11,1135,Status_Change,"2020/04/29, 15:49:36"
11,1136,Text,"2020/04/29, 17:18:14"
11,1137,Video,"2020/04/29, 17:04:14"
11,1138,Video,"2020/04/29, 16:47:42"
11,1139,Video,"2020/04/29, 16:56:58"
12,1140,Gif,"2020/04/29, 16:43:27"
12,1141,Image,"2020/04/29, 16:09:11"
12,1142,Image,"2020/04/29, 17:52:11"
12,1143,Gif,"2020/04/29, 16:22:35"
12,1144,Video,"2020/04/29, 16:31:33"
12,1145,Video,"2020/04/29, 16:15:36"
12,1146,Image,"2020/04/29, 16:59:23"
12,1147,Video,"2020/04/29, 18:03:01"
12,1148,Status_Change,"2020/04/29, 17:14:12"
12,1149,Text,"2020/04/29, 18:19:39"
12,1150,Text,"2020/04/29, 16:31:38"
12,1151,Status_Change,"2020/04/29, 16:33:17"
12,1152,Image,"2020/04/29, 17:40:25"
12,1153,Gif,"2020/04/29, 15:58:47"
12,1154,Status_Change,"2020/04/29, 16:43:14"
12,1155,Image,"2020/04/29, 16:52:37"
12,1156,Image,"2020/04/29, 16:40:19"
12,1157,Image,"2020/04/29, 16:36:28"
12,1158,Text,"2020/04/29, 16:40:03"
12,1159,Video,"2020/04/29, 16:00:33"
13,1160,Video,"2020/04/29, 17:20:24"
13,1161,Text,"2020/04/29, 17:22:05"
13,1162,Image,"2020/04/29, 16:27:52"
13,1163,Video,"2020/04/29, 16:42:58"
13,1164,Image,"2020/04/29, 17:02:09"
13,1165,Video,"2020/04/29, 18:01:09"
13,1166,Gif,"2020/04/29, 16:41:55"
13,1167,Video,"2020/04/29, 16:40:15"
13,1168,Status_Change,"2020/04/29, 16:29:47"
13,1169,Status_Change,"2020/04/29, 16:49:52"
13,1170,Video,"2020/04/29, 17:46:33"
13,1171,Image,"2020/04/29, 17:34:26"
13,1172,Video,"2020/04/29, 16:01:47"
13,1173,Text,"2020/04/29, 16:33:51"
13,1174,Video,"2020/04/29, 17:00:07"
13,1175,Gif,"2020/04/29, 17:34:09"
13,1176,Status_Change,"2020/04/29, 16:16:35"
13,1177,Status_Change,"2020/04/29, 17:31:10"
13,1178,Gif,"2020/04/29, 16:53:54"
13,1179,Image,"2020/04/29, 17:40:43"
13,1180,Status_Change,"2020/04/29, 16:55:21"
14,1181,Image,"2020/04/29, 17:11:50"
14,1182,Image,"2020/04/29, 16:07:47"
14,1183,Status_Change,"2020/04/29, 16:58:03"
14,1184,Text,"2020/04/29, 16:48:06"
14,1185,Image,"2020/04/29, 16:35:20"
14,1186,Text,"2020/04/29, 16:57:47"
15,1187,Status_Change,"2020/04/29, 16:57:14"
15,1188,Image,"2020/04/29, 16:04:08"
